filename	indel	silent	synonimous	nonsynonimous
Feature:571.afa	6	0	2	19
Feature:525.afa	95	0	50	327
Feature:809.afa	10	0	5	22
Feature:468.afa	51	0	31	219
Feature:592.afa	3	0	2	10
Feature:124.afa	4	0	2	10
Feature:541.afa	172	0	97	693
Feature:538.afa	8	0	5	38
Feature:30.afa	40	0	21	154
Feature:167.afa	152	0	80	619
Feature:230.afa	19	0	11	98
Feature:360.afa	2	0	1	8
Feature:103.afa	4	0	1	8
Feature:223.afa	2	0	0	7
Feature:532.afa	0	0	0	48
Feature:144.afa	0	0	2	12
Feature:585.afa	7	0	6	34
Feature:123.afa	4	0	2	10
Feature:611.afa	10	0	3	20
Feature:48.afa	120	0	84	507
Feature:205.afa	14	0	6	50
Feature:119.afa	111	0	41	449
Feature:331.afa	2	0	0	5
Feature:871.afa	0	0	1	13
Feature:639.afa	4	0	3	26
Feature:893.afa	6	0	1	17
Feature:57.afa	7	0	0	30
Feature:606.afa	3	0	0	13
Feature:666.afa	2	0	2	12
Feature:38.afa	0	0	1	10
Feature:551.afa	2	0	2	10
Feature:782.afa	24	0	18	126
Feature:576.afa	4	0	0	8
Feature:460.afa	12	0	5	40
Feature:100.afa	6	0	1	32
Feature:190.afa	22	0	11	89
Feature:266.afa	95	0	52	425
Feature:674.afa	35	0	16	110
Feature:777.afa	28	0	11	113
Feature:757.afa	7	0	1	26
Feature:554.afa	4	0	1	7
Feature:713.afa	4	0	1	11
Feature:736.afa	151	0	70	572
Feature:401.afa	129	0	72	462
Feature:367.afa	11	0	6	45
Feature:753.afa	9	0	3	36
Feature:517.afa	15	0	4	43
Feature:542.afa	172	0	97	693
Feature:96.afa	60	0	29	185
Feature:147.afa	4	0	0	15
Feature:681.afa	2	0	0	0
Feature:23.afa	5	0	2	8
Feature:764.afa	25	0	17	89
Feature:783.afa	15	0	4	46
Feature:118.afa	6	0	4	27
Feature:199.afa	2	0	1	3
Feature:354.afa	7	0	2	15
Feature:767.afa	189	0	113	707
Feature:415.afa	22	0	15	84
Feature:410.afa	16	0	4	56
Feature:503.afa	8	0	4	39
Feature:129.afa	8	0	4	26
Feature:55.afa	3	0	0	16
Feature:766.afa	31	0	22	91
Feature:909.afa	5	0	2	39
Feature:621.afa	103	0	72	392
Feature:877.afa	43	0	31	208
Feature:599.afa	2	0	2	18
Feature:561.afa	9	0	3	28
Feature:673.afa	35	0	16	110
Feature:353.afa	7	0	2	15
Feature:588.afa	336	0	168	1455
Feature:399.afa	12	0	6	34
Feature:427.afa	6	0	3	11
Feature:761.afa	73	0	41	266
Feature:197.afa	126	0	61	487
Feature:901.afa	6	0	3	23
Feature:288.afa	48	0	24	226
Feature:657.afa	5	0	5	32
Feature:81.afa	0	0	0	241
Feature:66.afa	6	0	1	10
Feature:226.afa	8	0	2	20
Feature:32.afa	40	0	21	154
Feature:438.afa	226	0	105	884
Feature:489.afa	5	0	1	13
Feature:775.afa	32	0	18	125
Feature:24.afa	5	0	2	8
Feature:593.afa	5	0	1	17
Feature:126.afa	7	0	3	32
Feature:94.afa	60	0	29	185
Feature:293.afa	7	0	0	21
Feature:558.afa	6	0	1	27
Feature:122.afa	4	0	3	11
Feature:76.afa	43	0	23	131
Feature:300.afa	27	0	16	82
Feature:831.afa	4	0	1	8
Feature:587.afa	336	0	168	1455
Feature:679.afa	2	0	0	0
Feature:243.afa	2	0	1	16
Feature:417.afa	206	0	137	836
Feature:725.afa	138	0	68	472
Feature:734.afa	53	0	29	172
Feature:213.afa	4	0	2	9
Feature:711.afa	3	0	2	6
Feature:647.afa	3	0	0	11
Feature:623.afa	121	0	57	415
Feature:142.afa	3	0	1	9
Feature:59.afa	6	0	3	14
Feature:456.afa	82	0	39	313
Feature:769.afa	94	0	54	387
Feature:386.afa	106	0	68	472
Feature:724.afa	8	0	2	24
Feature:466.afa	51	0	31	219
Feature:792.afa	6	0	2	15
Feature:847.afa	5	0	3	6
Feature:896.afa	9	0	2	38
Feature:181.afa	11	0	5	34
Feature:370.afa	27	0	11	80
Feature:907.afa	15	0	3	59
Feature:620.afa	9	0	4	41
Feature:209.afa	308	0	170	1253
Feature:691.afa	22	0	13	90
Feature:610.afa	8	0	1	15
Feature:160.afa	19	0	16	71
Feature:159.afa	19	0	16	71
Feature:407.afa	16	0	8	34
Feature:755.afa	27	0	15	159
Feature:528.afa	2	0	2	7
